[2022-07-20 12:05:26.768] [sharedprocess] [info] Starting worker process with pid 9822 (type: fileWatcher, window: 1).
[2022-07-20 12:05:26.948] [sharedprocess] [info] Deleted from disk ms-azuretools.vscode-docker /home/woshyy/.vscode-oss/extensions/ms-azuretools.vscode-docker-1.22.0
[2022-07-20 13:14:55.050] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 13:21:12.048] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 13:24:14.046] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 13:52:36.048] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 13:57:19.040] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 14:24:26.047] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 14:27:40.048] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 14:34:35.054] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 15:03:46.019] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 15:30:34.032] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 15:31:57.047] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
[2022-07-20 16:20:19.051] [sharedprocess] [warning] No ptyHost heartbeat after 6 seconds
